,Healthy,Warning,Minor,Major,Failure
Healthy,0.87767126538783,0.07439815913570183,0.01772760574135031,0.010246514843516215,0.019956454891601572
Warning,0.22718211590488396,0.5999216858892211,0.12362950306136979,0.02523850206464474,0.024028193079880394
Minor,0.06327363252887075,0.2491528939907337,0.5270728165410414,0.11811078072055875,0.04238987621879538
Major,0.017714534630463193,0.06897052417598373,0.2453898649629737,0.50675185131407,0.16117322491650937
Failure,0.2025627689252447,0.0,0.0,0.0,0.7974372310747553
